package,assay,run_id,path,files,rows,template_path,sample_table_path,reference_well,reference_file,reference_sample_type,well,channel
ddPCRclust,E200K,2021-05-20_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-05-20_SNV_E200K,33,536773,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-05-20_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,E200K,2021-10-25_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-10-25_SNV_E200K,5,38634,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/E200K/2021-10-25_SNV_E200K/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,P102L,2020-12-01_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2020-12-01_SNV_P102L,48,717491,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2020-12-01_SNV_P102L/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,P102L,2021-01-26_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-01-26_SNV_P102L,25,362079,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-01-26_SNV_P102L/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,P102L,2021-01-28_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-01-28_SNV_P102L,23,335030,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-01-28_SNV_P102L/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,P102L,2021-02-02_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-02-02_SNV_P102L,52,815130,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-02-02_SNV_P102L/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,P102L,2021-02-17_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-02-17_SNV_P102L,17,256672,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-02-17_SNV_P102L/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,P102L,2021-02-18_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-02-18_SNV_P102L,17,257228,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-02-18_SNV_P102L/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,P102L,2021-03-05_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-03-05_SNV_P102L,9,108741,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-03-05_SNV_P102L/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,P102L,2021-03-29_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-03-29_SNV_P102L,25,381357,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/P102L/2021-03-29_SNV_P102L/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
