method_id,method_variant,method_family,assay,sample,sample_type,sample_key,classification_status,classification_message,n_wells,run_dates,n_total_droplets,n_accepted_droplets,n_mut_expected,n_wt_expected,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,ref_positive,mut_positive,total,ref_negative,mut_negative,fractional_abundance,ci_low,ci_high,lambda_ref,lambda_mut,ratio,ratio_low,ratio_high,ratio_unbounded,p0_use,plate_p0_max,lob_count,lob_fa,detected_above_LoB,detected_above_LoD,is_germline_e200k
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,20-357-th,biological_sample,20_357_th,ok,,1,2021-05-20,15462,15462,15219,15058,16,227,388,14831,0,0,15058,15219,15462,404,243,53.259593129819066,52.24932947606175,54.26943433937912,3.6447258019192703,4.1530792365398685,1.13947645508831,1.0942114299707735,1.1867212564595755,FALSE,0.9998741269889265,2021-05-20,15462,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,238501-sn,biological_sample,238501_sn,ok,,1,2021-10-14,12693,12693,9766,188,2923,4,9582,184,0,0,188,9766,12693,12505,2927,98.99310735825381,98.8382229056014,99.13201570623933,0.014922096076457739,1.4670726526962912,98.31545415465186,85.07503150315252,114.2094579577422,FALSE,0.7441576369054431,2021-10-14,9526,75.04923973843852,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,924486-bg,biological_sample,924486_bg,ok,,1,2021-01-26,13959,13959,4844,1305,9114,1,3540,1304,0,0,1305,4844,13959,12654,9115,81.2815266379619,80.32904805461523,82.2052247796441,0.09815109080592861,0.4262030533999948,4.342316014018776,4.083638060712263,4.619627040054284,FALSE,0.42180890039818875,2021-01-26,5984,42.868400315208824,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,924486-cb,biological_sample,924486_cb,ok,,1,2021-01-26,13533,13533,5331,1139,8202,0,4192,1139,0,0,1139,5331,13533,12394,8202,85.06490965910602,84.22976703924414,85.87063926208458,0.08791866255445283,0.500753120124501,5.695640784052616,5.341060417360318,6.077461029900319,FALSE,0.42180890039818875,2021-01-26,5803,42.88036651149043,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,924486-fr,biological_sample,924486_fr,ok,,1,2021-01-26,14297,14297,5987,933,8308,2,5056,931,0,0,933,5987,14297,13364,8310,88.93821816722642,88.23821849722509,89.60904388900322,0.06748520055251697,0.5425901161796702,8.04013489976112,7.502113389575165,8.623753476753654,FALSE,0.42180890039818875,2021-01-26,6128,42.862138910260896,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,924486-hc,biological_sample,924486_hc,ok,,1,2021-01-26,14515,14515,7354,1685,7161,0,5669,1685,0,0,1685,7354,14515,12830,7161,85.1316965300929,84.44436611687544,85.79865098537978,0.12339641884904816,0.7065329614517906,5.725716905253937,5.428539058667636,6.041584563343277,FALSE,0.42180890039818875,2021-01-26,6220,42.85222183947641,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,924486-sn,biological_sample,924486_sn,ok,,1,2021-01-26,15255,15255,7183,2364,8072,0,4819,2364,0,0,2364,7183,15255,12891,8072,79.08047207894708,78.29507777405014,79.84868477754708,0.16837792470766522,0.6365060351173252,3.7802225928512643,3.6072498652145626,3.96245524900421,FALSE,0.42180890039818875,2021-01-26,6535,42.83841363487381,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,924486-th,biological_sample,924486_th,ok,,1,2021-01-26,12968,12968,2561,317,10405,2,2246,315,0,0,317,2561,12968,12651,10407,89.88843679809322,88.77402334282284,90.92471190532393,0.024748521000842478,0.22000612777765263,8.889667700553229,7.907910915355986,10.018933939812225,FALSE,0.42180890039818875,2021-01-26,5563,42.8979025293029,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,929474-bg,biological_sample,929474_bg,ok,,1,2021-01-26,17599,17599,12642,354,4957,0,12288,354,0,0,354,12642,17599,17245,4957,98.42159015869314,98.24833832513062,98.58169300871377,0.02031983585926965,1.267041363209637,62.35490148566475,56.08864984298802,69.50659738292079,FALSE,0.42180890039818875,2021-01-26,7531,42.79220410250583,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,929474-cb,biological_sample,929474_cb,ok,,1,2021-01-26,16041,16041,7163,889,8878,0,6274,889,0,0,889,7163,16041,15152,8878,91.20928971581678,90.6320635135496,91.76096344979135,0.057015408190981776,0.5915716382228607,10.375645057934193,9.67470943517155,11.137341470765465,FALSE,0.42180890039818875,2021-01-26,6869,42.82151985537061,TRUE,TRUE,FALSE
