run_id,assay,well,sample,sample_type,sample_key,mean_max_posterior,median_max_posterior,mean_entropy,posterior_rowsum_min,posterior_rowsum_max,low_confidence_droplets
2021-02-17_SNV_D178N,D178N,C07,CJD-955427-bg,biological_sample,955427_bg,0.9933263286925661,0.9998827559014609,0.018622348473847833,0.9999999999999999,1.0000000000000002,226
2021-02-17_SNV_D178N,D178N,D01,CJD-943497-sn,biological_sample,943497_sn,0.9991069469773508,0.9997734877836876,0.004232392699863741,0.9999999999999999,1.0000000000000002,16
2021-02-17_SNV_D178N,D178N,E01,CJD-943497-th,biological_sample,943497_th,0.9964624254714202,0.9998081156990976,0.010562909566945746,0.9999999999999999,1.0000000000000002,87
2021-02-17_SNV_D178N,D178N,E04,CJD-18-31-th,biological_sample,18_31_th,0.9925220815488712,0.9998761085518149,0.02003707583509954,0.9999999999999999,1.0000000000000002,247
2021-02-17_SNV_D178N,D178N,F04,CJD-17-30-bg,biological_sample,17_30_bg,0.999293587599184,0.9998722880279755,0.002928140426909483,0.9999999999999999,1.0000000000000002,15
2021-02-17_SNV_D178N,D178N,G01,CJD-933892-cb,biological_sample,933892_cb,0.997673277515046,0.9998280059771781,0.007434255549219697,0.9999999999999999,1.0000000000000002,51
2021-02-17_SNV_D178N,D178N,G04,CJD-17-30-cb,biological_sample,17_30_cb,0.9945684591509643,0.9998678753365162,0.0152921054584956,0.9999999999999999,1.0000000000000002,164
2021-02-17_SNV_D178N,D178N,H01,CJD-933892-fr,biological_sample,933892_fr,0.9991874011286042,0.9998152960135194,0.0037471242392302516,0.9999999999999999,1.0000000000000002,15
2021-02-17_SNV_D178N,D178N,H04,CJD-17-31-cb,biological_sample,17_31_cb,0.9953196976037069,0.999860640032561,0.013355925920041468,0.9999999999999999,1.0000000000000002,142
2021-03-29_SNV_D178N,D178N,A01,NTC,NTC,ntc,0.9896737678471634,0.9999555908275786,0.026517718384551026,0.9999999999999999,1.0000000000000002,258
2021-03-29_SNV_D178N,D178N,A04,17-11-sn,biological_sample,17_11_sn,0.9995413656555399,0.9998989524429975,0.0020452618403824824,0.9999999999999999,1.0000000000000002,14
2021-03-29_SNV_D178N,D178N,A07,17-8-sn,biological_sample,17_8_sn,0.9994727055397798,0.9998958072324305,0.002260321890038193,0.9999999999999999,1.0000000000000002,11
2021-03-29_SNV_D178N,D178N,B01,WT,WT_control,wt,0.9989888218593561,0.9999138549084918,0.0035496783573026333,0.9999999999999999,1.0000000000000002,24
2021-03-29_SNV_D178N,D178N,B04,17-11-th,biological_sample,17_11_th,0.999632680261583,0.9999097682157325,0.0017620939074515474,0.9999999999999999,1.0000000000000002,8
2021-03-29_SNV_D178N,D178N,C01,D178N,positive_control,d178n,0.9655739506352324,0.9995223031321527,0.09010507544777811,0.9999999999999999,1.0000000000000002,965
2021-03-29_SNV_D178N,D178N,C04,17-12-cb,biological_sample,17_12_cb,0.9994545905311385,0.9998992993873614,0.0023340204868083432,0.9999999999999999,1.0000000000000002,10
2021-03-29_SNV_D178N,D178N,C07,17-34-bg,biological_sample,17_34_bg,0.9995619598847567,0.9999139239912302,0.0018006510051109788,0.9999999999999999,1.0000000000000002,11
2021-03-29_SNV_D178N,D178N,D01,17-31-fr,biological_sample,17_31_fr,0.9992403944738579,0.9999155356895358,0.0025975844436012282,0.9999999999999999,1.0000000000000002,18
2021-03-29_SNV_D178N,D178N,D04,17-12-hc,biological_sample,17_12_hc,0.9993636545867319,0.9999151825422083,0.0022669873138087423,0.9999999999999999,1.0000000000000002,20
2021-03-29_SNV_D178N,D178N,D07,17-34-hc,biological_sample,17_34_hc,0.9996570492554492,0.9999137865530706,0.001524790935903704,0.9999999999999999,1.0000000000000002,10
2021-03-29_SNV_D178N,D178N,E01,18-1-sn,biological_sample,18_1_sn,0.9996950007505561,0.9999141948693931,0.0014997714210092362,0.9999999999999999,1.0000000000000002,7
2021-03-29_SNV_D178N,D178N,E04,17-5-bg,biological_sample,17_5_bg,0.9993806465710126,0.9999170623853595,0.002237535350681597,0.9999999999999999,1.0000000000000002,17
2021-03-29_SNV_D178N,D178N,E07,929474-th,biological_sample,929474_th,0.9997141628702898,0.9999160932181729,0.0014557060677969713,0.9999999999999999,1.0000000000000002,7
2021-03-29_SNV_D178N,D178N,F01,18-1-th,biological_sample,18_1_th,0.999557814557205,0.9999143322158155,0.0019122943009004874,0.9999999999999999,1.0000000000000002,10
2021-03-29_SNV_D178N,D178N,F04,17-5-hc,biological_sample,17_5_hc,0.9996213035748344,0.9999164744563527,0.0016805268818916215,0.9999999999999999,1.0000000000000002,9
2021-03-29_SNV_D178N,D178N,F07,14-2-bg,biological_sample,14_2_bg,0.9994992640066874,0.9999168461091523,0.0018310521797371391,0.9999999999999999,1.0000000000000002,12
2021-03-29_SNV_D178N,D178N,G01,17-13-fr,biological_sample,17_13_fr,0.9994054245721926,0.9999106342432715,0.0023377839492696203,0.9999999999999999,1.0000000000000002,15
2021-03-29_SNV_D178N,D178N,G04,17-5-sn,biological_sample,17_5_sn,0.9994108348055931,0.9999166248833273,0.002211567690154137,0.9999999999999999,1.0000000000000002,18
2021-03-29_SNV_D178N,D178N,G07,14-2-cb,biological_sample,14_2_cb,0.9993341029587343,0.9999169896552994,0.002393608962644629,0.9999999999999999,1.0000000000000002,16
2021-03-29_SNV_D178N,D178N,H01,17-13-th,biological_sample,17_13_th,0.9993031334146807,0.9999141739022154,0.002448308976647688,0.9999999999999999,1.0000000000000002,18
2021-03-29_SNV_D178N,D178N,H04,17-8-hc,biological_sample,17_8_hc,0.9996433537410498,0.9999166071787708,0.0016086932113446436,0.9999999999999999,1.0000000000000002,8
2021-03-29_SNV_D178N,D178N,H07,14-2-fr,biological_sample,14_2_fr,0.9993942675174461,0.9999165760592833,0.002137342751932226,0.9999999999999999,1.0000000000000002,19
2021-04-06_SNV_D178N,D178N,A01,NTC,NTC,ntc,0.9843887291470964,0.9999428279820695,0.04108047117404186,0.9999999999999999,1.0000000000000002,492
2021-04-06_SNV_D178N,D178N,A04,20-08-hc,biological_sample,20_08_hc,0.9994070610513961,0.999915759763141,0.002181369223486323,0.9999999999999999,1.0000000000000002,11
2021-04-06_SNV_D178N,D178N,A07,14-2-hc,biological_sample,14_2_hc,0.9995441496019892,0.9999165458574145,0.0019092189273377856,0.9999999999999999,1.0000000000000002,11
2021-04-06_SNV_D178N,D178N,B01,WT,WT_control,wt,0.9959584410850798,0.9998955349013368,0.011543959968338662,0.9999999999999999,1.0000000000000002,124
2021-04-06_SNV_D178N,D178N,B04,20-08-th,biological_sample,20_08_th,0.99939452203211665,0.9999160014967756,0.0022095222881992446,0.9999999999999999,1.0000000000000002,10
2021-04-06_SNV_D178N,D178N,B07,14-2-sn,biological_sample,14_2_sn,0.9994765552325579,0.9999125043788615,0.002123798746536073,0.9999999999999999,1.0000000000000002,11
