method_id,assay,channel,channel_role,status,message,negative_mean,negative_sd,positive_mean,positive_sd,negative_upper,positive_lower,rain_band_overlap,run_id,threshold_interval,reps,threshold,elapsed_seconds
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_D178N,0.999,10,6271.5,0.5860000000000127
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_D178N,0.999,10,1163.5,0.61099999999999
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_D178N,0.999,10,6272,0.5689999999999884
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_D178N,0.999,10,1163.5,0.5200000000000102
ddpcRquant_0999,D178N,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14_SNV_D178N,0.999,10,6272,0.5289999999999964
ddpcRquant_0999,D178N,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14_SNV_D178N,0.999,10,1163.5,0.5249999999999773
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_E200K,0.999,10,6573.5,0.478999999999985
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12_SNV_E200K,0.999,10,806,0.5030000000000143
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_E200K,0.999,10,6573.5,0.47100000000000364
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-15_SNV_E200K,0.999,10,806,0.4830000000000041
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_E200K,0.999,10,6573.5,0.4970000000000141
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-22_SNV_E200K,0.999,10,803.5,0.49799999999999045
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_E200K,0.999,10,6573.5,0.5500000000000114
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_E200K,0.999,10,804,0.5289999999999964
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_E200K,0.999,10,6573.5,0.4870000000000232
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_E200K,0.999,10,806,0.5030000000000427
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-24_SNV_E200K,0.999,10,6573.5,0.5149999999999864
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-24_SNV_E200K,0.999,10,802.5,0.5550000000000068
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_E200K,0.999,10,6573.5,0.49799999999999045
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_E200K,0.999,10,805,0.47900000000004184
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_E200K,0.999,10,6573.5,0.4849999999999568
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_E200K,0.999,10,806,0.5209999999999582
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-18_SNV_E200K,0.999,10,6573.5,0.47800000000000864
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-18_SNV_E200K,0.999,10,804,0.507000000000005
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_E200K,0.999,10,6573.5,0.5570000000000164
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_E200K,0.999,10,806.5,0.5289999999999964
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_E200K,0.999,10,6573.5,0.5009999999999764
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_E200K,0.999,10,803.5,0.49200000000001864
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_E200K,0.999,10,6573.5,0.5149999999999864
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_E200K,0.999,10,803,0.5090000000000146
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_E200K,0.999,10,6573.5,0.5950000000000273
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_E200K,0.999,10,806,0.47500000000002274
ddpcRquant_0999,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-25_SNV_E200K,0.999,10,6573.5,0.49200000000001864
ddpcRquant_0999,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-25_SNV_E200K,0.999,10,805,0.5149999999999864
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01_SNV_P102L,0.999,10,3291,3.0539999999999736
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01_SNV_P102L,0.999,10,9358.5,2.7930000000000064
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_P102L,0.999,10,3737.5,3
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_P102L,0.999,10,9358.5,2.909999999999968
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-28_SNV_P102L,0.999,10,3691.5,3.089999999999975
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-28_SNV_P102L,0.999,10,9358.5,2.9610000000000127
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-02_SNV_P102L,0.999,10,3736,2.992999999999995
ddpcRquant_0999,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-02_SNV_P102L,0.999,10,9358.5,3.093999999999994
ddpcRquant_0999,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_P102L,0.999,10,4058.5,3.032000000000039
