assay,target_class,vertex_order,gate_source,n_control_points,n_trimmed_points,min_hull_points,polygon_expansion,ch1_amplitude,ch2_amplitude
D178N,DP,18,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,8037.6325,5421.1265028
D178N,DP,19,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,8313.59937,5012.8475632
D178N,DP,20,control_convex_hull_mahalanobis_trimmed,10387,10335,30,1.03,8634.85843,4258.5734132
E200K,NN,1,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1292.50883,1065.963231
E200K,NN,2,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1230.859828,959.833679
E200K,NN,3,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,985.371173,650.9566609999999
E200K,NN,4,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,707.285902,441.6641629999999
E200K,NN,5,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,621.96097598,415.55010641
E200K,NN,6,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,387.1272631,374.57730484
E200K,NN,7,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,338.182827,392.56461611
E200K,NN,8,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,311.42823504,407.28187925999987
E200K,NN,9,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,297.829487,417.08444900000006
E200K,NN,10,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,276.10025370999995,436.7142363799999
E200K,NN,11,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,269.99801974,443.11517961999994
E200K,NN,12,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,249.7923161000001,472.25986082999987
E200K,NN,13,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,239.8569082900001,488.85340700000006
E200K,NN,14,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,223.6891806,516.829443
E200K,NN,15,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,216.65471937999996,567.177285
E200K,NN,16,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,238.15981951999993,698.93124498
E200K,NN,17,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,324.507414,1142.1050231000002
E200K,NN,18,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,442.32301022,1330.5390735
E200K,NN,19,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,605.67284438,1550.6765548
E200K,NN,20,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,794.6533860000001,1713.76968
E200K,NN,21,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,813.08194,1729.3667228
E200K,NN,22,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,838.701336,1747.8476214000002
E200K,NN,23,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,880.319001,1773.4932721
E200K,NN,24,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,910.36198229,1784.2818628999999
E200K,NN,25,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,911.7447129999999,1784.7713395
E200K,NN,26,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1028.7745181,1825.9957299
E200K,NN,27,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1094.011968,1839.2484000000002
E200K,NN,28,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1208.4738080000002,1857.8789576
E200K,NN,29,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1335.1851805000001,1796.9727916000002
E200K,NN,30,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1372.5397785,1764.3923775
E200K,NN,31,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1405.5162482,1642.7155831999999
E200K,NN,32,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1428.328132,1532.4648467
E200K,NN,33,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1425.5803804000002,1482.81484
E200K,NN,34,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1394.7486488,1316.2231859
E200K,NN,35,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1378.3415728,1258.2781360000001
E200K,NN,36,control_convex_hull_mahalanobis_trimmed,368807,366962,30,1.03,1327.4493654999999,1140.64575
