run_id,assay,well,sample,sample_type,sample_key,run_date,source_peak_data_json,source_peak_metadata_json,method_id,method_variant,n_total_droplets,n_accepted_droplets,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,n_mut_expected,n_wt_expected,classification_status,classification_message,method_parameters_json
2021-03-29_SNV_D178N,D178N,C01,D178N,positive_control,d178n,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/C01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/C01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,14485,14473,8861,4666,804,142,12,0,946,4808,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,C04,17-12-cb,biological_sample,17_12_cb,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/C04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/C04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,12549,12532,79,12442,0,11,17,0,11,12453,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,C07,17-34-bg,biological_sample,17_34_bg,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/C07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/C07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,16761,16751,427,16309,0,15,10,0,15,16324,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,D01,17-31-fr,biological_sample,17_31_fr,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/D01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/D01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,14631,14614,1004,13603,0,7,17,0,7,13610,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,D04,17-12-hc,biological_sample,17_12_hc,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/D04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/D04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,17304,17296,557,16717,0,22,8,0,22,16739,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,D07,17-34-hc,biological_sample,17_34_hc,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/D07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/D07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,17087,17084,235,16836,0,13,3,0,13,16849,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,E01,18-1-sn,biological_sample,18_1_sn,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/E01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/E01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15297,15290,52,15224,0,14,7,0,14,15238,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,E04,17-5-bg,biological_sample,17_5_bg,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/E04.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/E04.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15184,15169,647,14506,0,16,15,0,16,14522,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,E07,929474-th,biological_sample,929474_th,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/E07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/E07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,16809,16804,167,16623,0,14,5,0,14,16637,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2021-03-29_SNV_D178N,D178N,F01,18-1-th,biological_sample,18_1_th,2021-03-29,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakData/F01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2021-03-29/SNV_D178N/PeakMetaData/F01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,14693,14637,15,14607,0,15,56,0,15,14622,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
